variable,dataset,code,year_requested,year_obtained,filters,usable_count,usable_share,missing_countries,status,notes
ESP,isoc_ec_esels,E_AESELL,2023,2023,"{'freq': 'A', 'size_emp': 'GE10', 'nace_r2': 'C10-S951_X_K', 'indic_is': 'E_AESELL', 'unit': 'PC_ENT'}",27,1.0,None,COMPLETE,Enterprise e-sales penetration; country-level enterprise digital-sales proxy.
DFP,tin00099,I_IUBK,2023,2023,"{'freq': 'A', 'indic_is': 'I_IUBK', 'unit': 'PC_IND', 'ind_type': 'IND_TOTAL'}",27,1.0,None,COMPLETE,Digital financial participation proxy; not direct enterprise payment-gateway readiness.
LPI,World_Bank_LPI_2023,LPI.OVRL.XQ,2023,2023,{},27,1.0,None,COMPLETE,Official 2023 LPI values embedded for stable reproducibility.
CBO,isoc_ec_ibos,I_BPG_EU,2023,2023,"{'freq': 'A', 'ind_type': 'IND_TOTAL', 'indic_is': 'I_BPG_EU', 'unit': 'PC_IND_BUY3'}",27,1.0,None,COMPLETE,Cross-border buying openness overlay.
MP_POP_16_74,demo_pjan,Y16-Y74_SUM,2023,2023,"{'freq': 'A', 'sex': 'T', 'unit': 'NR', 'age': 'Y16...Y74 summed'}",27,1.0,None,COMPLETE,Population denominator constructed by summing Eurostat demo_pjan single-year ages Y16 through Y74.
MP_POP_TOTAL_OPTIONAL,demo_pjan,TOTAL,2023,2023,"{'freq': 'A', 'sex': 'T', 'unit': 'NR', 'age': 'TOTAL'}",27,1.0,None,COMPLETE,Total-population denominator retained only for optional MP rank-stability comparison.
MP_INC,tin00096,I_BLT12,2023,2023,"{'freq': 'A', 'indic_is': 'I_BLT12', 'unit': 'PC_IND', 'ind_type': 'IND_TOTAL'}",27,1.0,None,COMPLETE,Online-shopping incidence used for MP overlay.
MP,demo_pjan + tin00096,Y16-Y74_SUM + I_BLT12,2023,2023,"{'population_source': 'Eurostat demo_pjan Y16-Y74 single-year sum', 'incidence_code': 'I_BLT12'}",27,1.0,None,COMPLETE,Main manuscript MP uses age-consistent population 16-74. Total-population MP retained only as optional rank-stability support.
ETI,isoc_ec_evals,E_AWSVAL,2023,2023,"{'base': {'freq': 'A', 'size_emp': 'GE10', 'nace_r2': 'C10-S951_X_K', 'indic_is': 'E_AWSVAL'}, 'primary_unit': 'PC_TURN', 'fallback_unit': 'PC_ETURN'}",25,0.9259,"LU, RO",PARTIAL,Enterprise-side criterion-consistency route; partial coverage is acceptable and must be disclosed.
GDP_PPS,tec00114,VI_PPS_EU27_2020_HAB,2023,2023,"{'freq': 'A', 'indic_ppp': 'VI_PPS_EU27_2020_HAB', 'ppp_cat18': 'GDP'}",27,1.0,None,COMPLETE,Prosperity association / rank-difference diagnostic; not proof of conceptual independence.
